Time,SI,PGA
50:35.0,0,0
50:35.6,0,0
50:36.1,0,0
50:36.6,0,0
50:37.2,0,0
50:37.7,0,0
50:38.3,0,0
50:38.8,0,0
50:39.3,0.8,0.92
50:39.9,1,0.92
50:40.4,1.05,0.92
50:41.0,1.07,0.93
50:41.5,1.12,1.29
50:42.0,1.74,1.92
50:42.6,1.75,1.92
50:43.1,1.77,1.92
50:43.7,1.77,1.92
50:44.2,1.77,1.92
50:44.8,1.78,1.92
50:45.3,1.78,1.92
50:45.8,1.78,1.92
50:46.4,1.78,1.92
50:46.9,1.78,1.92
50:47.5,1.78,1.92
50:48.0,1.78,1.92
50:48.6,1.78,1.92
50:49.1,1.86,1.92
50:49.6,1.92,1.92
50:50.2,1.92,1.92
50:50.7,1.93,1.92
50:51.3,1.93,1.92
50:51.8,1.93,1.92
50:52.3,1.93,1.92
50:52.9,1.93,1.92
50:53.4,1.93,1.92
50:54.0,1.93,1.92
50:54.5,1.93,1.92
50:55.0,1.93,1.92
50:55.6,1.93,1.92
50:56.1,1.93,1.92
50:56.7,1.93,1.92
50:57.2,1.93,1.92
50:57.8,1.93,1.92
50:58.3,1.93,1.92
50:58.8,1.93,1.92
50:59.4,1.93,1.92
50:59.9,1.93,1.92
51:00.5,1.93,1.92
51:01.0,1.93,1.92
51:01.5,1.93,1.92
51:02.1,1.93,1.92
51:02.6,1.93,1.92
51:03.2,1.93,1.92
51:03.7,1.93,1.92
51:04.2,1.93,1.92
51:04.8,1.93,1.92
51:05.3,1.93,1.92
51:05.9,1.93,1.92
51:06.4,1.93,1.92
51:07.0,1.93,1.92
51:07.5,1.93,1.92
51:08.0,1.93,1.92
51:08.6,1.93,1.92
51:09.1,1.93,1.92
51:09.7,1.93,1.92
51:10.2,1.93,1.92
51:10.7,1.93,1.92
51:11.3,1.93,1.92
51:11.8,1.93,1.92
51:12.4,1.93,1.92
51:12.9,1.93,1.92
51:13.5,1.93,1.92
51:14.0,1.93,1.92
51:14.5,1.93,1.92
51:15.1,1.93,1.92
51:15.6,1.93,1.92
51:16.1,1.93,1.92
51:16.7,1.93,1.92
51:17.2,1.93,1.92
51:17.8,1.93,1.92
51:18.3,1.93,1.92
51:18.9,1.93,1.92
51:19.4,1.93,1.92
